customer_id,first_name,last_name,gender,email,phone_number,birthdate,address,city,country,plan,status,signup_date,last_purchase,total_orders,total_spent
142,Ellen,Rogers,Female,anna56@example.com,(495)544-0629x815,1983-04-22,8902 Ward Bypass Apt. 980,Jenniferchester,Malta,Free,Churned,2023-05-14,2024-11-07,31,116.86
143,Brianna,Brown,Male,hillkristen@example.com,001-394-648-9525x09840,2000-11-09,34494 Bowman Squares,Castrostad,Lesotho,Premium,Active,2025-11-24,2026-01-01,21,5479.73
144,Sarah,Peters,Male,nmaxwell@example.net,+1-284-484-4017x6155,1982-07-03,892 Lewis Island,Luisfurt,Guadeloupe,Basic,Inactive,2023-09-01,2026-07-11,39,3081.56
145,Katherine,Wells,Male,briannaharris@example.net,(812)380-5925x969,1969-02-24,26886 Whitehead Passage Suite 139,Smithstad,United States Virgin Islands,Enterprise,Inactive,2026-03-20,2026-06-26,91,1147.08
146,Amanda,Thompson,Female,nruiz@example.com,(657)476-5768x02306,1965-05-06,43093 Cox Lake,North Patricia,China,Basic,Churned,2023-02-24,2024-08-18,45,4156.3
147,Kristen,Byrd,Male,olsenlisa@example.net,635-796-2982x70818,1991-06-25,49493 Mckinney Drive Suite 344,Andrewfurt,Chad,Enterprise,Active,2024-07-23,2024-11-10,4,12679.81
148,Jennifer,Anderson,Female,michael59@example.com,(350)691-9296,1985-08-06,70149 Perry Run,West Jordanfurt,Oman,Basic,Inactive,2022-11-29,2026-06-09,89,6301.04
149,Jennifer,Flores,Male,breanna04@example.org,672-526-9349x59474,1977-01-06,81237 Matthews Plaza Apt. 601,Swansonton,Pakistan,Free,Active,2025-03-13,2025-03-20,26,12373.57
150,Joseph,Jennings,Male,paul16@example.com,739-206-1447,2007-06-12,0301 Burns Passage,Port Christophertown,Denmark,Premium,Churned,2025-04-26,2026-01-28,4,14422.46
151,John,Hunter,Male,ramirezteresa@example.com,897-317-1968,2003-01-16,2909 Robert Creek,Port Austinland,Gambia,Enterprise,Inactive,2025-09-13,2026-04-07,33,6010.02
152,Nicole,White,Non-binary,bobbyhardy@example.org,(737)524-6969,1959-04-22,79971 Charles Flat,South Johnathanmouth,Dominica,Free,Active,2024-03-07,2024-03-22,86,14321.97
153,Travis,Robinson,Female,anita62@example.com,+1-468-650-7204x602,2005-01-03,262 Butler Walk Apt. 708,Lake Lawrence,Lao People's Democratic Republic,Enterprise,Inactive,2025-10-21,2026-01-22,74,1200.99
154,Stephanie,Ross,Male,ksmith@example.com,9464157164,1975-09-24,417 Matthew Greens Apt. 898,North Lisaburgh,Hong Kong,Premium,Active,2025-02-20,2025-05-28,18,1933.92
155,Sherry,Rice,Non-binary,ywalker@example.com,713-495-8288,1978-03-17,7044 Cummings Ridge,Billyshire,Bangladesh,Free,Active,2023-02-25,2026-04-02,61,12789.77
156,Michele,Hodges,Non-binary,williamsmolly@example.com,928-589-4604x0425,1990-03-13,22798 Kristi Drive Apt. 567,Kathleenville,Iraq,Basic,Inactive,2025-02-12,2025-10-30,58,1417.84
157,Teresa,Grant,Non-binary,bakermary@example.org,(724)748-7957x1187,1973-10-08,0074 Jennifer Square Apt. 525,Port Krystal,Bulgaria,Basic,Inactive,2025-01-23,2025-05-31,115,14036.99
158,Craig,Smith,Male,fhanson@example.org,+1-377-915-7942x6435,1960-10-12,2602 Phillips Locks Suite 732,Patrickbury,Croatia,Basic,Inactive,2024-04-07,2025-08-04,28,5393.47
159,Leslie,Jones,Non-binary,dcruz@example.org,2173899949,1990-01-16,5193 Ellis Tunnel Suite 645,North Robertview,Syrian Arab Republic,Enterprise,Churned,2025-04-19,2025-12-03,16,8482.97
160,Lisa,Walker,Male,melissa00@example.net,705-607-0308x7921,1998-06-17,9802 Phillip Causeway,Lopezberg,Vanuatu,Free,Active,2025-07-25,2026-05-18,25,2014.38
161,Kathryn,Lewis,Non-binary,myu@example.com,828-789-1574,1973-04-12,2681 Thomas Route,Amandastad,Belize,Basic,Churned,2025-09-10,2025-11-23,90,12067.64
162,Nicole,Johnson,Male,robertclarke@example.net,(577)923-1049x08138,1961-10-27,097 Kimberly Field,Lake Amanda,Greece,Premium,Active,2025-07-08,2026-04-26,62,3218.25
163,Joseph,Brooks,Non-binary,duane51@example.com,940-542-5556x38225,1997-08-10,368 Baker Port,Guerreromouth,Bhutan,Enterprise,Inactive,2023-03-13,2023-05-31,68,1172.58
164,Michael,Chandler,Male,xfrench@example.org,932.989.0031x95048,1961-08-15,861 Jacobs Streets Suite 144,Jenniferhaven,Lesotho,Free,Churned,2025-06-07,2025-11-29,4,2814.18
165,Margaret,Lee,Female,jasonflores@example.org,(683)475-3685x3521,1976-10-11,0265 Carr Fort Apt. 685,East Chloe,Botswana,Basic,Active,2023-09-15,2025-09-01,23,7539.37
166,Derek,Miller,Female,ryan56@example.com,+1-453-941-0369,1994-12-12,152 Kennedy Pine,Lake Carla,Liechtenstein,Free,Inactive,2023-07-11,2023-12-30,93,7690.03
167,Mary,Gomez,Female,makayla37@example.com,001-590-726-2729x20203,1983-10-15,8696 Jason Square Apt. 801,East Meghan,French Polynesia,Free,Churned,2024-10-05,2024-11-20,2,11279.14
168,Michael,Jones,Male,sarasantos@example.net,+1-686-252-3330x3826,1969-02-11,01035 Kaufman Lodge,Martinezville,Seychelles,Premium,Inactive,2024-09-04,2025-06-09,13,10142.98
169,Julie,Curry,Female,barbarasmith@example.com,557.453.9139x1056,1993-03-07,770 Thomas Court Apt. 999,North Rodneytown,Wallis and Futuna,Premium,Inactive,2022-12-18,2023-03-24,10,9346.84
170,Nicholas,Kim,Non-binary,sandersdonna@example.org,848.612.0858x66329,1966-09-02,2432 Thompson Point,Joshuaville,Tonga,Enterprise,Churned,2025-05-26,2026-07-15,82,1072.67
171,Noah,Hill,Female,denisevega@example.org,001-427-844-4580,1974-06-08,08577 Morgan Cliff Apt. 581,Micheleland,Comoros,Basic,Active,2024-12-21,2025-01-16,29,7743.18
172,Phyllis,Reyes,Male,daniel21@example.com,(815)244-0048,1979-09-10,841 Katherine Mountains,Floresport,Panama,Premium,Inactive,2026-01-31,2026-04-20,90,9578.39
173,Christy,Fischer,Female,adamfoster@example.com,517-390-2264x34910,2000-09-09,5872 Mendez Neck,New Jocelynstad,Cote d'Ivoire,Premium,Active,2026-07-11,2026-07-15,8,8115.93
174,Sherri,Franklin,Male,stephaniewalker@example.net,8159386533,1967-11-21,2367 Ho Views Suite 148,East Kylieton,Syrian Arab Republic,Basic,Churned,2024-06-05,2025-09-20,18,11553.7
175,Jacob,Green,Non-binary,joanneadams@example.net,+1-668-325-1281x5376,2004-07-20,0966 Amber View,Jenniferland,Switzerland,Premium,Churned,2022-12-14,2026-05-15,45,8777.48
176,Chad,Hobbs,Female,acostanicholas@example.net,506-988-0583x92790,1983-10-26,86677 Howard Club,Kennethbury,Bulgaria,Free,Churned,2024-10-01,2026-07-09,58,1210.77
177,Lisa,Singh,Non-binary,rileymichael@example.com,837.449.8126x2127,1967-05-29,662 Smith Plaza,Raymondmouth,Saint Vincent and the Grenadines,Premium,Inactive,2022-11-29,2026-02-06,75,7185.76
178,Anna,Smith,Non-binary,dhatfield@example.net,459.496.2732x7833,1966-07-24,451 Wallace View,Loriburgh,Lesotho,Premium,Churned,2022-10-07,2023-08-11,19,8961.45
179,Amy,Contreras,Female,smithtoni@example.org,858.647.7650x329,1980-01-30,76315 Brown Pine Suite 940,Port Kristinview,Georgia,Enterprise,Churned,2026-07-08,2026-07-25,23,2862.44
180,Thomas,Taylor,Female,garciageorge@example.org,+1-435-987-4097x223,1982-01-25,23493 Susan Crossing,Lake James,Denmark,Free,Churned,2025-09-15,2026-06-09,78,695.36
181,Joshua,Day,Male,bsmith@example.com,245.483.8041,1980-10-01,687 Jose Ridge Suite 560,Dominiqueside,Yemen,Free,Inactive,2023-09-29,2025-10-01,29,14679.37
182,Stephanie,Francis,Male,scott80@example.net,333-367-0664x0185,1980-05-09,57160 Smith Manors Apt. 792,West Amy,Slovenia,Premium,Active,2024-04-21,2025-05-11,91,14918.33
183,Mary,White,Male,herrerabrenda@example.com,001-409-758-7807x068,2001-05-11,5272 Cortez Brook Apt. 445,Port Peter,New Zealand,Basic,Active,2024-11-03,2024-12-21,78,3066.86
184,Denise,Velasquez,Male,murphydanielle@example.com,(992)301-9132x98317,1989-05-30,058 Barnett Squares,Johnsonton,Liberia,Premium,Inactive,2022-09-23,2024-07-12,29,7050.49
185,Michelle,Marks,Male,trevor80@example.net,890.644.5561x5036,1969-04-12,6906 Matthew Wall Suite 918,Laurenstad,Peru,Basic,Churned,2026-07-24,2026-07-26,18,4640.41
186,Danny,Fuentes,Female,sarah53@example.org,668-390-8197x7395,1982-06-19,1668 Fields Shoals,West Tamara,Bhutan,Free,Inactive,2024-06-08,2025-03-31,37,7264.57
187,Laurie,Cummings,Male,calexander@example.net,(364)881-6745x65256,1991-12-05,55208 Alyssa Fall Suite 721,East Rachel,Palestinian Territory,Basic,Inactive,2023-08-07,2025-10-16,118,12100.96
188,Anthony,Morris,Female,nicole15@example.net,+1-385-210-7960,1964-07-05,094 Brandy Terrace Apt. 903,West Michael,Sweden,Free,Inactive,2024-05-09,2026-06-24,26,8560.29
189,Jennifer,Black,Female,nowen@example.com,(498)287-6906,1963-08-17,07999 Perez Mount Suite 346,New Megan,Russian Federation,Enterprise,Churned,2024-12-01,2025-01-06,93,5550.96
190,Brittany,Owens,Female,ngonzalez@example.net,+1-836-839-8221x1941,1995-08-10,70217 Martin Haven Suite 400,New Raymondland,British Virgin Islands,Basic,Churned,2025-05-03,2026-06-29,25,3231.44
191,Kevin,Roman,Female,dperez@example.com,(544)461-0564,1955-09-25,95296 Parker Vista,South Christinehaven,Ireland,Premium,Active,2023-06-04,2025-01-07,3,10018.93
192,Anita,Miller,Female,yatesbetty@example.org,539.215.1311x591,1992-01-07,3250 Hughes Avenue,East Dawnton,Bangladesh,Enterprise,Active,2023-03-31,2026-01-02,58,14082.6
193,Brittney,Campbell,Non-binary,taylormichael@example.net,001-785-240-8267x65689,1973-06-05,409 Wayne Plains Suite 746,West Amandastad,Trinidad and Tobago,Free,Active,2023-06-16,2024-11-12,3,7449.17
194,Thomas,Crawford,Female,edwardburnett@example.net,+1-297-884-8046x964,1957-07-22,2306 Harmon Haven,Hannahside,Turks and Caicos Islands,Basic,Active,2023-04-25,2024-11-19,69,3127.37
195,Justin,Ritter,Male,steven55@example.org,385-904-3575,1968-08-08,40337 Osborne Key,Julieport,Isle of Man,Free,Churned,2026-07-10,2026-07-12,91,10599.15
196,Sandra,Gibson,Non-binary,danielswendy@example.org,505-449-2480,1957-04-14,942 Jose Manor Suite 744,Samuelbury,Egypt,Free,Active,2022-11-14,2024-06-01,107,6425.07
197,Amanda,Mora,Male,stephanie11@example.org,+1-485-629-4524x04927,1991-06-26,6413 Ross Drive,New Nathanhaven,Trinidad and Tobago,Enterprise,Active,2025-08-13,2026-07-04,73,4343.89
198,Katherine,Baker,Female,moonbrendan@example.org,536-643-5299x6467,1993-04-10,43971 Soto Extensions Suite 716,Shawmouth,Wallis and Futuna,Free,Inactive,2023-05-31,2025-06-05,26,3886.11
199,Dominique,Martinez,Female,anna07@example.net,001-671-462-7009x395,1998-04-05,5309 Phillip Corners Apt. 824,New Kristen,Italy,Basic,Churned,2023-09-21,2025-05-14,63,12570.56
200,Carrie,Gomez,Non-binary,hwilliams@example.net,(855)813-5389,1990-10-01,9312 Smith Unions Apt. 417,Lake Samanthashire,Rwanda,Enterprise,Inactive,2023-10-10,2026-07-12,1,11677.58
